명칭,도로명주소,단지분류,동수,세대수,면적(제곱미터),관리사무소연락처,관리기관,관리자 연락처,데이터기준일
행림마을삼성래미안1차,경기도 화성시 병점구 동탄지성로 333,아파트,10,621,,031-236-3721,병점구 도시건축과,031-5189-4236,2026-07-01
신동탄푸르지오,경기도 화성시 병점구 동탄지성로 405,아파트,16,993,,031-221-0360,병점구 도시건축과,031-5189-4236,2026-07-01
행복마을 참누리 에듀파크 1단지,경기도 화성시 병점구 동탄지성로 295,아파트,13,872,,031-225-9165,병점구 도시건축과,031-5189-4236,2026-07-01
행복마을 참누리 에듀파크 2단지,경기도 화성시 병점구 동탄지성로 295,아파트,7,330,,,병점구 도시건축과,031-5189-4236,2026-07-01
SK뷰파크2차,경기도 화성시 병점구 동탄지성로 256,아파트,14,1196,,031-267-3923,병점구 도시건축과,031-5189-4236,2026-07-01
우림그린빌리지,경기도 화성시 효행구 효행로265번길 17,아파트,7,642,,031-225-0880,효행구 도시건축과,031-5189-7710,2026-07-01
평생플러스빌,경기도 화성시 효행구 효행로275,아파트,4,259,,031-231-9004,효행구 도시건축과,031-5189-7710,2026-07-01
광도와이드빌,경기도 화성시 효행구 효행로 229-11,아파트,15,812,,031-232-2825,효행구 도시건축과,031-5189-7710,2026-07-01
기안마을풍성신미주,경기도 화성시 효행구 융건로 99,아파트,20,1164,,031-233-0723,효행구 도시건축과,031-5189-7710,2026-07-01
신일해피트리1차,경기도 화성시 효행구 효행로291번길 26,아파트,13,901,,031-221-0995,효행구 도시건축과,031-5189-7710,2026-07-01
화성우방아이유쉘 메가시티1단지,경기도 화성시 효행구 기배로30번길 7-30,아파트,5,420,,031-8043-5137,효행구 도시건축과,031-5189-7710,2026-07-01
화성우방아이유쉘 메가시티2단지,경기도 화성시 효행구 기배로 29,아파트,9,737,,031-898-8575,효행구 도시건축과,031-5189-7710,2026-07-01
남양우림그린빌리지,경기도 화성시 만세구 남양읍 남양성지로 8-5,아파트,12,938,93635.0,031-355-3477,만세구 현장민원실,031-5189-1392,2026-07-01
남양기산베스트빌,경기도 화성시 만세구 남양읍 남양로 624-8,아파트,4,270,29513.0,031-355-3603,만세구 현장민원실,031-5189-1392,2026-07-01
대광파인밸리1차,경기도 화성시 만세구 남양읍 시청로 221,아파트,14,1108,137632.0,031-355-3656,만세구 현장민원실,031-5189-1392,2026-07-01
금강에스쁘아,경기도 화성시 만세구 남양읍 화성로1081번길 49-10,아파트,4,280,31712.0,031-355-8365,만세구 현장민원실,031-5189-1392,2026-07-01
대광파인밸리골드,경기도 화성시 만세구 남양읍 시청로102번길 84,아파트,7,400,49719.0,031-356-8408,만세구 현장민원실,031-5189-1392,2026-07-01
금광포란재,경기도 화성시 만세구 남양읍 무하로111번길 50,아파트,4,284,29535.0,031-355-3157,만세구 현장민원실,031-5189-1392,2026-07-01
남양아이파크,경기도 화성시 만세구 남양읍 역골동로 70,아파트,5,265,47474.0,031-355-6452,만세구 현장민원실,031-5189-1392,2026-07-01
남양우림필유,경기도 화성시 만세구 남양읍 역골동로 94,아파트,6,344,56073.0,031-355-8033,만세구 현장민원실,031-5189-1392,2026-07-01
남양뉴타운 양우내안애,경기도 화성시 만세구 남양읍 시청로32번길 59,아파트,5,398,55980.0,031-357-8624,만세구 현장민원실,031-5189-1392,2026-07-01
양우내안애2차에듀타운,경기도 화성시 만세구 남양읍 시청로 102번길 12,아파트,9,460,63327.0,031-356-3554,만세구 현장민원실,031-5189-1392,2026-07-01
남양 시티프라디움 1차,경기도 화성시 만세구 남양읍 시청로102번길 51,아파트,12,813,139215.0,031-355-1237,만세구 현장민원실,031-5189-1392,2026-07-01
남양 시티프라디움 2차,경기도 화성시 만세구 남양읍 남양천로 45,아파트,9,499,125638.0,031-355-3320,만세구 현장민원실,031-5189-1392,2026-07-01
남양 시티프라디움 3차,경기도 화성시 만세구 남양읍 남양천로 17,아파트,7,438,73646.0,031-356-4222,만세구 현장민원실,031-5189-1392,2026-07-01
동광뷰엘,경기도 화성시 만세구 남양읍 역골중앙로 118,아파트,8,673,107026.0,031-357-6534,만세구 현장민원실,031-5189-1392,2026-07-01
남양 시티프라디움 4차,경기도 화성시 만세구 남양읍 남양로862번길 13,아파트,7,556,86974.0,031-355-3305,만세구 현장민원실,031-5189-1392,2026-07-01
화성시청역 센트럴파크 스타힐스1단지,경기도 화성시 만세구 남양읍 화성시청역로 1,아파트,10,1131,152603.0,031-8068-7773,만세구 현장민원실,031-5189-1392,2026-07-01
화성시청역 센트럴파크 스타힐스2단지,경기도 화성시 만세구 남양읍 화성시청역로 7,아파트,11,1005,142632.0,031-8068-7775,만세구 현장민원실,031-5189-1392,2026-07-01
화성시청역 센트럴파크 스타힐스3단지,경기도 화성시 만세구 남양읍 화성시청역로 14,아파트,8,847,119922.0,031-8068-7781,만세구 현장민원실,031-5189-1392,2026-07-01
화성시청역 서희스타힐스 4차 숲속마을,경기도 화성시 만세구 남양읍 고향의봄길 36,아파트,20,1846,264606.54,031-357-7688,만세구 현장민원실,031-5189-1392,2026-07-01
e편한세상 남양뉴타운,경기도 화성시 만세구 남양읍 남양로862번길 42,아파트,8,606,91084.0,031-355-6003,만세구 현장민원실,031-5189-1392,2026-07-01
화성시청역 리젠시 빌란트 아파트,경기도 화성시 만세구 남양읍 시청로 102번길 52,아파트,7,380,72079.0,031-355-3308,만세구 현장민원실,031-5189-1392,2026-07-01
서동탄역우남퍼스트빌(2차),경기도 화성시 병점구 10용사로 286,아파트,10,700,,031-224-3218,병점구 도시건축과,031-5189-4236,2026-07-01
서동탄역우남퍼스트빌(3차),경기도 화성시 병점구 10용사로 286,아파트,6,413,,,병점구 도시건축과,031-5189-4236,2026-07-01
푸른마을두산위브,경기도 화성시 동탄구 동탄공원로 21-40,아파트,11,915,,031-8003-0901,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄숲속마을 능동역 리체 더 포레스트,경기도 화성시 동탄구 동탄숲속로 19,아파트,8,562,,031-613-4341,동탄구 도시건축과,031-5189-6740,2026-07-01
숲속마을모아미래도1단지,경기도 화성시 동탄구 동탄숲속로 96,아파트,16,870,,031-8003-0540,동탄구 도시건축과,031-5189-6740,2026-07-01
숲속마을모아미래도2단지,경기도 화성시 동탄구 동탄숲속로 36,아파트,5,361,,031-8003-0380,동탄구 도시건축과,031-5189-6740,2026-07-01
푸른마을모아미래도,경기도 화성시 동탄구 동탄공원로 21-11,아파트,13,926,,031-613-3707,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄숲속마을광명메이루즈,경기도 화성시 동탄구 동탄숲속로 95,아파트,11,326,,031-613-6760,동탄구 도시건축과,031-5189-6740,2026-07-01
능동마을이지더원,경기도 화성시 동탄구 동탄원천로 315-34,아파트,10,542,,031-8003-2237,동탄구 도시건축과,031-5189-6740,2026-07-01
푸른마을포스코더샵,경기도 화성시 동탄구 동탄공원로 21-12,아파트,15,1226,,031-613-5033,동탄구 도시건축과,031-5189-6740,2026-07-01
숲속마을자연앤데시앙,경기도 화성시 동탄구 동탄숲속로 68,아파트,20,1289,,031-613-8461,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄푸른마을신일해피트리,경기도 화성시 동탄구 동탄공원로 21-39,아파트,13,794,,031-8003-1740,동탄구 도시건축과,031-5189-6740,2026-07-01
동탄숲속마을자연앤경남아너스빌5블럭,경기도 화성시 동탄구 동탄숲속로 103,아파트,9,641,,031-8003-2063,동탄구 도시건축과,031-5189-6740,2026-07-01
