승하차일자,관할관청,정류소ID,정류소번호,정류소명,승차합계,초승,환승,하차
20251201,화성시,233000729,36025,(구)남양읍행정복지센터,226,184,42,88
20251201,화성시,233000769,36026,(구)남양읍행정복지센터,133,99,34,289
20251201,화성시,233002277,55934,(임시)e편한세상동탄파크아너스,112,112,0,84
20251201,화성시,233002318,60121,(임시)비봉LH5단지,7,7,0,7
20251201,화성시,233002350,60124,(임시)비봉LH5단지,3,3,0,6
20251201,화성시,233002317,60120,(임시)청연초등학교,9,8,1,2
20251201,화성시,233002369,60125,(임시)청연초등학교,3,3,0,6
20251201,화성시,233002343,60122,(임시)호반써밋.금강펜테리움,37,37,0,9
20251201,화성시,233002348,60123,(임시)호반써밋.금강펜테리움,17,14,3,35
20251201,화성시,233000717,37290,51사단,26,25,1,7
20251201,화성시,233000845,37291,51사단,13,12,1,29
20251201,화성시,233003062,55946,ASML(A동),0,0,0,3
20251201,화성시,233003063,55945,ASML(B동),1,1,0,4
20251201,화성시,233001317,55914,C10,98,96,2,24
20251201,화성시,233001333,55915,C10,12,11,1,80
20251201,화성시,233002115,55091,DM디스플레이,28,27,1,133
20251201,화성시,233002116,55092,DM디스플레이,29,27,2,31
20251201,화성시,233000987,37598,DS.LCD,3,3,0,5
20251201,화성시,233001310,36683,IT단지(중),467,442,25,555
20251201,화성시,233001978,37954,IT단지(중),560,541,19,601
20251201,화성시,233002427,55303,KCC스위첸,11,11,0,15
20251201,화성시,233001934,37940,KEB하나은행발안지점,161,104,57,473
20251201,화성시,233000277,36382,LH1단지,181,161,20,81
20251201,화성시,233000290,55785,LH1단지.우미린,109,105,4,41
20251201,화성시,233002169,55605,LH1단지.한양수자인,1,1,0,90
20251201,화성시,233002173,55606,LH1단지.한양수자인,122,121,1,17
20251201,화성시,233000287,55783,LH2단지.우미린,123,123,0,22
20251201,화성시,233001173,55899,LH4단지.치동천복지관,10,10,0,0
20251201,화성시,233001176,55900,LH4단지.치동천복지관,0,0,0,9
20251201,화성시,233002500,55406,LH4단지후문,33,33,0,4
20251201,화성시,233002501,55407,LH4단지후문,3,3,0,26
20251201,화성시,233000589,36174,SK매직.우림그린빌리지,87,80,7,354
20251201,화성시,233000105,36388,SK뷰2차아파트,2,2,0,37
20251201,화성시,233002034,55015,SK뷰2차아파트,77,75,2,57
20251201,화성시,233002035,55011,SK뷰2차아파트,109,88,21,97
20251201,화성시,233002680,55718,SK뷰파크3차,142,139,3,106
20251201,화성시,233002682,55720,SK뷰파크3차,78,76,2,156
20251201,화성시,233001949,55929,e편한세상남양뉴타운아파트,5,5,0,3
20251201,화성시,233003155,55552,e편한세상동탄,285,277,8,307
20251201,화성시,233003156,55553,e편한세상동탄,179,174,5,328
20251201,화성시,233001314,36712,가골입구앞,2,2,0,1
20251201,화성시,233002588,36549,가시리마을,1,1,0,0
20251201,화성시,233003071,36548,가시리마을,1,1,0,1
20251201,화성시,233000820,36764,가재1리입구.자연샘,15,15,0,13
20251201,화성시,233002212,55133,가재1리입구.자연샘,14,14,0,8
20251201,화성시,233000821,37296,가재3리.가재3리입구,22,22,0,12
20251201,화성시,233000798,37302,가재3리.덕우공단입구,36,35,1,64
20251201,화성시,233000822,37301,가재3리.덕우공단입구,26,25,1,19
20251201,화성시,233000799,37294,가재3리입구.가재4리,11,11,0,26
20251201,화성시,233001862,37904,가재4리,0,0,0,17
20251201,화성시,233000819,37282,가재4리.해병대보급중대,30,30,0,23
20251201,화성시,233000791,36097,가톨릭대학교,204,204,0,44
20251201,화성시,233000830,36095,가톨릭대학교,52,48,4,130
20251201,화성시,233002881,60002,각골입구,2,2,0,0
20251201,화성시,233002882,60001,각골입구,0,0,0,2
20251201,화성시,233002823,36634,갈담,2,1,1,3
20251201,화성시,233001175,36208,갈목,0,0,0,3
20251201,화성시,233000033,37342,갈천다리,39,37,2,38
20251201,화성시,233000947,37343,갈천다리,29,29,0,25
20251201,화성시,233000038,37335,갈천리,13,13,0,4
20251201,화성시,233001019,37334,갈천리,7,7,0,13
20251201,화성시,233000034,37339,갈천초등학교,10,10,0,14
20251201,화성시,233000039,36711,갈천초등학교,3,3,0,15
20251201,화성시,233000505,37148,감드러지.독정3리,1,1,0,1
20251201,화성시,233000936,37147,감드러지.독정3리,4,4,0,3
20251201,화성시,233000749,37006,개경촌,5,5,0,0
20251201,화성시,233000871,37007,개경촌,0,0,0,4
20251201,화성시,233001437,37533,개나리공원,32,26,6,120
20251201,화성시,233001438,36721,개나리공원,123,112,11,36
20251201,화성시,233002232,36613,갤건너,0,0,0,1
20251201,화성시,233001643,37757,거문들,1,1,0,8
20251201,화성시,233002134,55160,거문들,3,3,0,1
20251201,화성시,233001396,36968,거물마을,0,0,0,1
20251201,화성시,233001398,36966,거물마을,0,0,0,1
20251201,화성시,233000474,55830,건농골교차로,0,0,0,1
20251201,화성시,233000875,55870,건농골교차로,2,2,0,2
20251201,화성시,233000876,55871,건농골교차로,1,1,0,2
20251201,화성시,233002341,55171,경기고속차고지,41,41,0,21
20251201,화성시,233002493,55937,경기남부직업능력개발원,2,2,0,9
20251201,화성시,233002124,55593,경기도시공사동탄사업단,10,9,1,7
20251201,화성시,233000171,55462,경기도종합사격장,3,3,0,1
20251201,화성시,233002170,55115,경기수협.보건소,42,39,3,32
20251201,화성시,233002171,55116,경기수협.보건소,14,14,0,69
20251201,화성시,233000410,36864,경기요양병원,7,7,0,0
20251201,화성시,233001089,36818,경기요양병원,0,0,0,9
20251201,화성시,233000960,36452,경남.반도1차,105,98,7,53
20251201,화성시,233002031,55020,경남아너스빌,22,20,2,43
20251201,화성시,233003160,55557,경남아너스빌,139,136,3,84
20251201,화성시,233001563,37627,경신,1,1,0,0
20251201,화성시,233001569,37622,경신,4,4,0,2
20251201,화성시,233000412,36863,경진여객차고지,21,18,3,16
20251201,화성시,233001064,36104,경진여객차고지,118,98,20,1
20251201,화성시,233000890,36584,경찰특공대,1,1,0,1
20251201,화성시,233001136,36508,경찰특공대,1,1,0,1
20251201,화성시,233000131,36812,계룡.영천초,58,57,1,91
20251201,화성시,233000092,55734,계룡리슈빌,13,7,6,239
20251201,화성시,233003137,55533,계룡리슈빌.금호어울림,320,132,188,716
20251201,화성시,233000659,37571,계향2리,21,17,4,48
20251201,화성시,233001495,37570,계향2리,8,7,1,0
20251201,화성시,233000481,36920,고온리종점,23,23,0,13
20251201,화성시,233002540,36489,고잔마을,0,0,0,1
20251201,화성시,233002547,36498,고잔마을,6,6,0,1
20251201,화성시,233000197,37220,고잔앞들,2,2,0,0
20251201,화성시,233000198,37221,고잔앞들,0,0,0,6
20251201,화성시,233000283,37401,고정1리.큰한뿌리,0,0,0,1
20251201,화성시,233000285,37096,고정2리,4,4,0,1
20251201,화성시,233000282,37087,고정4리,4,4,0,3
20251201,화성시,233000424,60052,고정초등학교,2,2,0,1
20251201,화성시,233001510,36736,고주리,2,2,0,0
20251201,화성시,233001511,36735,고주리,0,0,0,1
20251201,화성시,233001523,37413,고주리.동방산업단지,0,0,0,8
20251201,화성시,233001571,37624,고주리.동방산업단지,6,6,0,1
20251201,화성시,233000043,36285,고지리,2,2,0,0
20251201,화성시,233000053,36286,고지리,3,3,0,1
20251201,화성시,233000057,36300,고지리,9,9,0,4
20251201,화성시,233000058,36299,고지리,2,2,0,4
20251201,화성시,233001307,36287,고지리,3,3,0,2
20251201,화성시,233001308,36284,고지리,0,0,0,2
20251201,화성시,233001478,55865,고포1리,0,0,0,2
20251201,화성시,233001839,37884,고포1리,3,3,0,0
20251201,화성시,233001477,55864,고포2리,0,0,0,4
20251201,화성시,233002194,55192,고포2리,5,5,0,0
20251201,화성시,233002196,55194,고포3리,0,0,0,4
20251201,화성시,233001894,37028,골재장,0,0,0,2
20251201,화성시,233001895,37033,골재장,2,2,0,1
20251201,화성시,233000994,36480,공공청사부지,168,73,95,230
20251201,화성시,233000190,36036,공군부대입구,21,19,2,4
