시군구코드,시군구명,시간코드,외국인구분,남자0009수,남자1014수,남자1519수,남자2024수,남자2529수,남자3034수,남자3539수,남자4044수,남자4549수,남자5054수,남자5559수,남자6064수,남자6569수,여자0009수,여자1014수,여자1519수,여자2024수,여자2529수,여자3034수,여자3539수,여자4044수,여자4549수,여자5054수,여자5559수,여자6064수,여자6569수,연도_월_일
41590,화성시,12,외국인,9.38,92.88,1227.7,2549.38,2549.36,2551.66,1875.0,1227.97,1200.35,1092.36,687.48,344.12,76.71,9.63,31.68,487.51,783.48,1045.03,1076.71,933.9,783.88,789.01,509.98,374.15,176.4,56.01,20231218
41590,화성시,5,외국인,1.76,24.15,311.1,728.18,832.48,692.55,532.24,351.17,411.29,315.92,269.79,95.97,30.37,2.07,6.3,141.93,194.71,275.27,315.38,206.86,174.17,204.87,147.94,123.74,65.0,17.19,20231205
41590,화성시,13,외국인,9.16,56.02,959.36,1941.71,2007.93,2023.31,1466.63,1007.53,1230.62,973.52,678.83,289.16,57.56,15.51,18.86,388.9,588.01,810.32,880.73,759.97,673.43,604.92,457.34,337.72,133.68,61.08,20231204
41590,화성시,3,외국인,0.0,35.74,485.86,998.78,1052.58,804.14,505.6,239.37,263.35,204.38,119.23,62.76,26.8,4.08,24.22,178.74,268.3,310.42,327.96,206.56,223.09,193.14,162.86,114.12,77.59,17.51,20231230
41590,화성시,15,내국인,9379.46,7546.63,8079.7,10605.27,11962.79,11029.0,15380.25,15600.17,16247.33,14671.15,13257.05,8556.35,4302.74,9087.05,7040.71,6162.9,7396.36,9254.48,10604.39,14448.58,11908.84,11845.97,10185.37,9013.08,6691.21,3705.54,20231228
41590,화성시,16,외국인,5.54,83.26,1097.57,2070.23,2195.62,2130.23,1512.77,944.09,936.33,800.82,574.67,255.17,59.45,14.09,54.15,465.72,697.47,788.15,862.44,776.33,593.67,642.8,454.81,294.83,162.12,55.82,20231227
41590,화성시,9,외국인,1.69,53.07,610.78,1568.79,1666.09,1382.6,1039.0,571.16,569.12,503.37,350.53,127.28,71.43,5.71,14.45,235.26,462.32,498.62,482.23,433.65,343.23,365.19,288.99,195.99,148.09,43.76,20231210
41590,화성시,14,내국인,9930.3,7222.1,7242.62,11152.33,12440.85,11268.07,15276.14,15238.51,16767.27,15271.38,13822.76,8919.98,4560.08,9634.61,6959.74,5941.19,7198.24,8936.08,10110.64,14212.54,11826.14,12094.88,10205.19,9706.77,6951.5,3972.52,20231213
41590,화성시,11,외국인,9.38,66.32,935.88,1979.99,2202.69,2235.39,1754.64,1182.62,1340.69,1235.18,791.94,325.44,89.53,7.81,29.09,345.81,593.63,854.31,863.16,733.4,655.57,636.65,483.23,349.22,168.13,62.84,20231207
41590,화성시,3,외국인,3.45,33.9,342.56,825.13,850.89,686.07,419.41,232.81,263.34,166.05,108.47,50.72,10.17,8.23,16.61,180.59,253.39,286.45,317.09,193.16,185.05,182.94,131.65,86.09,37.05,18.48,20231202
