grid_id,lon,lat,x_5179,y_5179,region_code,region,region_kind,pop,elderly,elderly_ratio,households,houses,workers,a0009,a1014,a1519,a2024,a2529,a3034,a3539,a4044,a4549,a5054,a5559,a6064,a6569,a70p
다바1595,126.54964,37.05427,915500.0,1895500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3297,126.74064,37.07367,932500.0,1897500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3298,126.74055,37.08269,932500.0,1898500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3299,126.74046,37.0917,932500.0,1899500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3393,126.75224,37.03769,933500.0,1893500.0,31240130,우정읍,읍,326.0,143.0,0.4387,157.0,144.0,151.0,10.0,5.0,5.0,8.0,16.0,13.0,13.0,8.0,18.0,13.0,38.0,48.0,43.0,100.0
다바3394,126.75216,37.04671,933500.0,1894500.0,31240130,우정읍,읍,13.0,5.0,0.3846,5.0,5.0,3.0,0,0,0,0,0.0,5.0,0,0,0,0.0,0.0,5.0,5.0,0.0
다바3396,126.75198,37.06473,933500.0,1896500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3397,126.75189,37.07375,933500.0,1897500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3398,126.7518,37.08276,933500.0,1898500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3399,126.75171,37.09177,933500.0,1899500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3493,126.76349,37.03776,934500.0,1893500.0,31240130,우정읍,읍,317.0,87.0,0.2744,114.0,96.0,68.0,10.0,5.0,5.0,13.0,31.0,31.0,21.0,13.0,18.0,23.0,38.0,28.0,33.0,54.0
다바3494,126.7634,37.04678,934500.0,1894500.0,31240130,우정읍,읍,193.0,80.0,0.4145,93.0,78.0,62.0,5.0,0.0,5.0,5.0,8.0,13.0,5.0,8.0,8.0,13.0,18.0,28.0,18.0,62.0
다바3495,126.76331,37.05579,934500.0,1895500.0,31240130,우정읍,읍,233.0,57.0,0.2446,112.0,87.0,491.0,5.0,5.0,0.0,8.0,23.0,23.0,13.0,8.0,8.0,18.0,23.0,48.0,23.0,34.0
다바3496,126.76323,37.0648,934500.0,1896500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3497,126.76314,37.07382,934500.0,1897500.0,31240130,우정읍,읍,13.0,10.0,0.7692,8.0,5.0,7.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,5.0,5.0
다바3498,126.76305,37.08283,934500.0,1898500.0,31240130,우정읍,읍,5.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0
다바3499,126.76297,37.09184,934500.0,1899500.0,31240130,우정읍,읍,5.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
다바3593,126.77473,37.03783,935500.0,1893500.0,31240130,우정읍,읍,284.0,100.0,0.3521,146.0,100.0,51.0,5.0,5.0,5.0,8.0,32.0,18.0,8.0,13.0,13.0,23.0,33.0,30.0,28.0,72.0
다바3594,126.77465,37.04684,935500.0,1894500.0,31240130,우정읍,읍,63.0,28.0,0.4444,28.0,28.0,20.0,0,5.0,0,0,8.0,0.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,20.0
다바3595,126.77456,37.05586,935500.0,1895500.0,31240130,우정읍,읍,127.0,62.0,0.4882,54.0,49.0,420.0,5.0,5.0,5.0,5.0,17.0,8.0,5.0,5.0,5.0,8.0,13.0,13.0,23.0,39.0
다바3596,126.77447,37.06487,935500.0,1896500.0,31240130,우정읍,읍,128.0,59.0,0.4609,63.0,58.0,205.0,0.0,5.0,5.0,5.0,8.0,0.0,5.0,5.0,8.0,8.0,18.0,13.0,18.0,41.0
다바3597,126.77439,37.07389,935500.0,1897500.0,31240130,우정읍,읍,163.0,85.0,0.5215,78.0,78.0,8.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,13.0,8.0,18.0,23.0,18.0,67.0
다바3598,126.7743,37.0829,935500.0,1898500.0,31240130,우정읍,읍,143.0,60.0,0.4196,63.0,58.0,27.0,0.0,0,5.0,0.0,13.0,8.0,8.0,8.0,5.0,8.0,18.0,18.0,13.0,47.0
다바3599,126.77422,37.09191,935500.0,1899500.0,31240130,우정읍,읍,133.0,65.0,0.4887,53.0,48.0,79.0,0.0,5.0,5.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,13.0,18.0,18.0,47.0
다바3693,126.78598,37.0379,936500.0,1893500.0,31240130,우정읍,읍,53.0,36.0,0.6792,23.0,23.0,770.0,0,0,0,5.0,8.0,0,5.0,0.0,8.0,5.0,5.0,5.0,5.0,31.0
다바3694,126.78589,37.04691,936500.0,1894500.0,31240130,우정읍,읍,133.0,36.0,0.2707,73.0,63.0,33.0,5.0,5.0,5.0,0,5.0,8.0,8.0,8.0,18.0,8.0,18.0,28.0,13.0,23.0
다바3695,126.78581,37.05593,936500.0,1895500.0,31240130,우정읍,읍,544.0,85.0,0.1562,240.0,229.0,196.0,23.0,26.0,30.0,19.0,14.0,38.0,25.0,33.0,62.0,86.0,72.0,37.0,28.0,57.0
다바3696,126.78572,37.06494,936500.0,1896500.0,31240130,우정읍,읍,271.0,77.0,0.2841,116.0,104.0,145.0,8.0,8.0,8.0,13.0,13.0,21.0,8.0,8.0,13.0,18.0,48.0,33.0,38.0,39.0
다바3697,126.78564,37.07395,936500.0,1897500.0,31240130,우정읍,읍,98.0,45.0,0.4592,48.0,42.0,74.0,10.0,0.0,0.0,5.0,5.0,5.0,8.0,5.0,5.0,13.0,8.0,13.0,13.0,32.0
다바3698,126.78555,37.08297,936500.0,1898500.0,31240130,우정읍,읍,198.0,52.0,0.2626,53.0,49.0,159.0,5.0,8.0,5.0,14.0,22.0,18.0,13.0,18.0,8.0,13.0,18.0,18.0,18.0,34.0
다바3699,126.78547,37.09198,936500.0,1899500.0,31240130,우정읍,읍,68.0,36.0,0.5294,28.0,23.0,106.0,0.0,5.0,0,5.0,5.0,8.0,8.0,5.0,0.0,8.0,5.0,8.0,8.0,28.0
다바3791,126.79739,37.01994,937500.0,1891500.0,31240130,우정읍,읍,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
다바3792,126.7973,37.02895,937500.0,1892500.0,31240130,우정읍,읍,283.0,78.0,0.2756,99.0,99.0,297.0,10.0,8.0,0,8.0,27.0,41.0,29.0,19.0,8.0,13.0,23.0,29.0,23.0,55.0
다바3793,126.79722,37.03797,937500.0,1893500.0,31240130,우정읍,읍,304.0,91.0,0.2993,134.0,122.0,407.0,16.0,8.0,8.0,5.0,13.0,18.0,13.0,18.0,8.0,33.0,33.0,43.0,34.0,57.0
다바3794,126.79714,37.04698,937500.0,1894500.0,31240130,우정읍,읍,299.0,50.0,0.1672,73.0,23.0,1301.0,0,5.0,8.0,28.0,39.0,43.0,29.0,30.0,24.0,8.0,19.0,23.0,13.0,37.0
다바3795,126.79705,37.05599,937500.0,1895500.0,31240390,장안면,면,178.0,47.0,0.264,61.0,33.0,521.0,0.0,0,5.0,5.0,29.0,27.0,13.0,8.0,13.0,8.0,8.0,18.0,18.0,29.0
다바3796,126.79697,37.06501,937500.0,1896500.0,31240130,우정읍,읍,917.0,110.0,0.12,391.0,305.0,619.0,31.0,29.0,39.0,55.0,89.0,75.0,53.0,60.0,107.0,155.0,97.0,33.0,28.0,82.0
다바3797,126.79689,37.07402,937500.0,1897500.0,31240130,우정읍,읍,138.0,26.0,0.1884,48.0,35.0,447.0,5.0,0,0.0,8.0,18.0,13.0,13.0,8.0,8.0,13.0,13.0,23.0,8.0,18.0
다바3798,126.7968,37.08303,937500.0,1898500.0,31240130,우정읍,읍,237.0,54.0,0.2278,95.0,82.0,75.0,10.0,13.0,8.0,13.0,13.0,13.0,13.0,8.0,13.0,36.0,24.0,23.0,18.0,36.0
다바3799,126.79672,37.09205,937500.0,1899500.0,31240130,우정읍,읍,118.0,51.0,0.4322,53.0,48.0,49.0,0,0,5.0,5.0,8.0,8.0,8.0,5.0,5.0,8.0,13.0,18.0,18.0,33.0
다바3891,126.80863,37.02001,938500.0,1891500.0,31240130,우정읍,읍,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다바3892,126.80854,37.02902,938500.0,1892500.0,31240130,우정읍,읍,49.0,0.0,0.0,8.0,5.0,75.0,0,0,0,0,14.0,20.0,8.0,5.0,0.0,0.0,5.0,0.0,0.0,0
다바3893,126.80846,37.03803,938500.0,1893500.0,31240130,우정읍,읍,218.0,5.0,0.0229,100.0,91.0,278.0,0,5.0,5.0,5.0,77.0,46.0,13.0,18.0,21.0,18.0,13.0,5.0,5.0,0.0
다바3894,126.80838,37.04705,938500.0,1894500.0,31240130,우정읍,읍,285.0,80.0,0.2807,93.0,83.0,309.0,5.0,8.0,8.0,13.0,19.0,29.0,18.0,18.0,18.0,23.0,23.0,23.0,18.0,62.0
다바3895,126.8083,37.05606,938500.0,1895500.0,31240390,장안면,면,93.0,31.0,0.3333,33.0,18.0,148.0,0,5.0,5.0,5.0,8.0,8.0,15.0,8.0,0.0,5.0,8.0,8.0,8.0,23.0
다바3896,126.80822,37.06507,938500.0,1896500.0,31240390,장안면,면,441.0,82.0,0.1859,158.0,152.0,126.0,36.0,18.0,13.0,13.0,18.0,34.0,34.0,43.0,39.0,38.0,38.0,38.0,38.0,44.0
다바3897,126.80814,37.07409,938500.0,1897500.0,31240390,장안면,면,1212.0,191.0,0.1576,341.0,265.0,210.0,51.0,23.0,33.0,68.0,108.0,134.0,97.0,106.0,88.0,107.0,126.0,94.0,63.0,128.0
다바3898,126.80805,37.0831,938500.0,1898500.0,31240130,우정읍,읍,1408.0,235.0,0.1669,539.0,500.0,129.0,57.0,60.0,69.0,55.0,81.0,63.0,87.0,121.0,138.0,160.0,152.0,136.0,80.0,155.0
