grid_id,period,daytype,boardings,potential,board_day,freq,coverage,nearest_stop_id,nearest_stop_m,rail_m,stops_n,pop,workers,elderly_ratio
다바1595,am,wd,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,day,wd,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,pm,wd,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,night,wd,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,am,we,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,day,we,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,pm,we,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바1595,night,we,0.0,0.0,0.0,0.0,0.05,41590-60113,13496.1,37533.5,0,0.0,0.0,0.0
다바3297,am,wd,0.009,0.0,0.05,0.309,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,day,wd,0.023,0.0,0.05,0.823,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,pm,wd,0.008,0.0,0.05,0.309,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,night,wd,0.002,0.0,0.05,0.0,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,am,we,0.058,0.0,0.77,0.309,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,day,we,0.421,0.0,0.77,0.823,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,pm,we,0.115,0.0,0.77,0.309,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3297,night,we,0.04,0.0,0.77,0.0,0.1698,41590-36991,664.2,24391.9,2,0.0,0.0,0.0
다바3298,am,wd,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,day,wd,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,pm,wd,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,night,wd,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,am,we,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,day,we,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,pm,we,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3298,night,we,0.0,0.0,0.0,0.0,0.05,41590-36991,1144.8,23548.0,0,0.0,0.0,0.0
다바3299,am,wd,0.0,0.0,0.0,0.0,0.05,41590-36991,2044.1,22717.8,0,0.0,0.0,0.0
