grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다바1595,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-60113,13496.1,126.54964,37.05427
다바3297,am,0.0,0.04635,-1.1968,-1.0888,-0.0,mid,0.0,3,0,1,0.05,0.309,0.0,0.0,0.0,우정읍,-0.0,-0.108,0.0,0,DRT,31240130,읍,0.0,4.64,0.0,41590-36991,664.2,126.74064,37.07367
다바3298,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-36991,1144.8,126.74055,37.08269
다바3299,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-36991,2044.1,126.74046,37.0917
다바3393,am,0.355938,0.528432,0.1774,0.6308,-0.4534,mid,0.0,2,3,3,0.653,17.743,326.0,151.0,0.4387,우정읍,-0.4534,-0.4534,0.49111,3,ADD_FREQ,31240130,읍,35.59,52.84,81.5,41590-36589,208.2,126.75224,37.03769
다바3394,am,0.091147,0.227368,-0.8449,-0.4431,-0.202,mid,0.0,3,0,1,0.05,4.197,13.0,3.0,0.3846,우정읍,-0.202,-0.4018,0.11694,0,DRT,31240130,읍,9.11,22.74,3.2,41590-37476,629.7,126.75216,37.04671
다바3396,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37518,1160.2,126.75198,37.06473
다바3397,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-36991,1662.2,126.75189,37.07375
다바3398,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37448,1802.9,126.7518,37.08276
다바3399,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37485,1856.6,126.75171,37.09177
다바3493,am,0.267061,0.302409,-0.1657,-0.1754,0.0097,mid,0.0,3,2,2,0.633,2.465,317.0,68.0,0.2744,우정읍,0.0097,0.0097,0.48285,3,ADD_FREQ,31240130,읍,26.71,30.24,79.2,41590-36583,220.2,126.76349,37.03776
다바3494,am,0.301095,0.602818,-0.0343,0.8962,-0.9305,mid,0.0,1,3,4,0.8088,24.439,193.0,62.0,0.4145,우정읍,-0.9305,-0.9305,0.41502,2,ADD_FREQ,31240130,읍,30.11,60.28,48.2,41590-36830,114.7,126.7634,37.04678
다바3495,am,0.247226,0.308138,-0.2423,-0.155,-0.084,mid,0.0,3,2,2,0.508,3.463,233.0,491.0,0.2446,우정읍,-0.084,-0.0873,0.44197,2,ADD_FREQ,31240130,읍,24.72,30.81,58.2,41590-37388,295.2,126.76331,37.05579
다바3496,am,0.0,0.011,-1.1968,-1.2149,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0181,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37518,1182.8,126.76323,37.0648
