grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다바1595,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-60113,13496.1,126.54964,37.05427
다바3297,am,0.006021,0.054074,-1.1902,-1.065,-0.0105,mid,0.0,3,0,1,0.05,0.309,0.0,0.0,0.0,우정읍,-0.0105,-0.1252,0.0,0,DRT,31240130,읍,0.6,5.41,0.0,41590-36991,664.2,126.74064,37.07367
다바3298,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-36991,1144.8,126.74055,37.08269
다바3299,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-36991,2044.1,126.74046,37.0917
다바3393,am,0.331459,0.612507,0.0785,0.866,-0.7875,mid,0.0,1,3,3,0.653,17.743,326.0,151.0,0.4387,우정읍,-0.7875,-0.7875,0.49114,3,ADD_FREQ,31240130,읍,33.15,61.25,81.5,41590-36589,208.2,126.75224,37.03769
다바3394,am,0.091283,0.274646,-0.8578,-0.3023,-0.2732,mid,0.0,2,0,2,0.05,4.197,13.0,3.0,0.3846,우정읍,-0.2732,-0.5555,0.11609,0,DRT,31240130,읍,9.13,27.46,3.2,41590-37476,629.7,126.75216,37.04671
다바3396,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37518,1160.2,126.75198,37.06473
다바3397,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-36991,1662.2,126.75189,37.07375
다바3398,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37448,1802.9,126.7518,37.08276
다바3399,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-37485,1856.6,126.75171,37.09177
