순번,단지명,회사명,공장대표주소(지번 및 도로명주소),업종번호,업종명,전화번호
1,화성동탄일반산업단지,(주)21세기 ,경기도 화성시 동탄구 동탄산단2길 17 (방교동),29222 ， 29223,디지털 적층 성형기계 제조업 외 1 종,031-353-3155
2,화성동탄일반산업단지,(주)가온솔루션,경기도 화성시 동탄구 동탄산단7길 110 (방교동),29271 ， 29272,반도체 제조용 기계 제조업 외 1 종,031-273-4523
3,화성동탄일반산업단지,(주)경진티알엠,경기도 화성시 동탄구 동부대로 772 (방교동),29171 ， 29172,산업용 냉장 및 냉동 장비 제조업 외 1 종,031-375-3977
4,화성동탄일반산업단지,(주)고성엔지니어링,"경기도 화성시 동탄구 동탄기흥로 64-14, 동탄일반산업단지 19-3블럭 (방교동)",26299,그 외 기타 전자부품 제조업,070-7596-2345
5,화성동탄일반산업단지,(주)고송이엔지,경기도 화성시 동탄구 동탄산단6길 53-27 (방교동),29271,반도체 제조용 기계 제조업,070-4361-2519
6,화성동탄일반산업단지,(주)구미,경기도 화성시 동탄구 동탄산단6길 54 (방교동),29299,그 외 기타 특수목적용 기계 제조업,031-206-2487
7,화성동탄일반산업단지,(주)그래핀랩,"경기도 화성시 동탄구 동탄산단4길 9-13, 1층(방교동)",26221,인쇄회로기판용 적층판 제조업,070-4909-5366
8,화성동탄일반산업단지,(주)그린테크놀로지 ,경기도 화성시 동탄구 동탄산단9길 23-6 (방교동),29180 ， 29271,반도체 제조용 기계 제조업 외 1 종,070-5060-0333
9,화성동탄일반산업단지,(주)그린파워,경기도 화성시 동탄구 동부대로 792 (방교동),27212 ， 28119 ， 29272 ， 35114,디스플레이 제조용 기계 제조업 외 3 종,031-211-3388
10,화성동탄일반산업단지,(주)글로벌디펜스 ,"경기도 화성시 동탄구 동탄산단6길 15-20, (동탄일반산업단지 10-3블록) (방교동)",25123 ， 26429 ， 28111 ， 29142 ， 29299 ， 31311 ， 31312,그 외 기타 특수목적용 기계 제조업 외 6 종,031-8077-9699
11,화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 동탄구 동탄면 동탄산단6길 15-13 (방교동),29271,반도체 제조용 기계 제조업,031-371-2237
12,화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 동탄구 방교동 832-6번지,29271,반도체 제조용 기계 제조업,031-371-2237
13,화성동탄일반산업단지,(주)글로벌시스템즈 ,경기도 화성시 동탄구 동탄산단5길 48 (방교동),30332,자동차용 신품 전기장치 제조업,031-374-9046
14,화성동탄일반산업단지,(주)글로벌엔지니어링 ,경기도 화성시 동탄구 동탄산단6길 15-20 (방교동),28111 ， 30332,자동차용 신품 전기장치 제조업 외 1 종,031-374-9046
15,화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 동탄구 동탄산단6길 19 (방교동),26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-370-5200
16,화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 동탄구 동탄산단9길 9-5 (방교동),26299,그 외 기타 전자부품 제조업,031-376-9451
17,화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 동탄구 동탄산단6길 3(방교동),26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-370-5200
18,화성동탄일반산업단지,(주)금호아이네트,"경기도 화성시 동탄구 동탄산단6길 87, 2동 (방교동)",28422 ， 28423,일반용 전기 조명장치 제조업 외 1 종,031-375-1946
19,화성동탄일반산업단지,(주)기가레인,경기도 화성시 동탄구 동탄산단7길 142 (방교동),26429 ， 28122 ， 28303,기타 무선 통신장비 제조업 외 2 종,031-370-3606
20,화성동탄일반산업단지,(주)기가테라라이팅 ,"경기도 화성시 동탄구 동탄산단6길 3, 4층(방교동)",28422 ， 29299,그 외 기타 특수목적용 기계 제조업 외 1 종,070-4942-5462
21,화성동탄일반산업단지,(주)네오아이씨피,경기도 화성시 동탄구 동탄산단2길 7-17 (방교동),26295 ， 26299 ， 28119 ， 31202,그 외 기타 전자부품 제조업 외 3 종,02-6363-8300
22,화성동탄일반산업단지,(주)네오이엔지,"경기도 화성시 동탄구 동탄산단6길 67(방교동, 성신이엔지)",29271,반도체 제조용 기계 제조업,031-352-2670
23,화성동탄일반산업단지,(주)넥스트테크놀러지,"경기도 화성시 동탄구 동탄기흥로 64-10,동탄일반산업단지 19-2블록 (방교동)",26295 ， 26299 ， 29172,그 외 기타 전자부품 제조업 외 2 종,031-666-2336
24,화성동탄일반산업단지,(주)넥스틴 ,경기도 화성시 동탄구 동탄산단9길 23-12 (방교동),29271,반도체 제조용 기계 제조업,031-629-2300
25,화성동탄일반산업단지,(주)노무라마이크로사이언스코리아,경기도 화성시 동탄구 동탄산단2길 32 (방교동),29175,액체 여과기 제조업,031-831-9775
26,화성동탄일반산업단지,(주)노이드테크,경기도 화성시 동탄구 방교동 824-2번지 (동탄산단9길 9-7),26295 ， 26299 ， 29261 ， 29271 ， 29272 ， 29299,반도체 제조용 기계 제조업 외 5 종,031-373-0495
27,화성동탄일반산업단지,(주)다산이엔지,"경기도 화성시 동탄구 동탄산단2길 58, (동탄일반산업단지 24-3블록) (방교동)",29261 ， 29299,그 외 기타 특수목적용 기계 제조업 외 1 종,031-235-3936
