연번,기업명,전화번호,주소,산업분류
1,대성이화 주식회사,031-352-6824,경기도 화성시 만세구 양감면 송산리 258-10,합성수지 및 기타 플라스틱 물질 제조업
2,대양레이저 주식회사,031-359-8932,경기도 화성시 만세구 팔탄면 노하리 174-19,절삭 가공 및 유사 처리업
3,한영자동포장기계주식회사,031-354-1574,경기도 화성시 효행구 정남면 용수리 59-1,"용기 세척, 포장 및 충전기 제조업"
4,그린페트,,경기도 화성시 효행구 봉담읍 당하리 257-1,포장용 플라스틱 성형용기 제조업
5,주식회사 티지하이텍,031-831-3960,경기도 화성시 만세구 팔탄면 율암리 845-8,주형 및 금형 제조업
6,주식회사 삼지켐텍,031-334-9022,경기도 화성시 동탄구 영천동 853-1,그 외 기타 분류 안된 화학제품 제조업
7,케이앤더블유 (주),031-366-3900,경기도 화성시 만세구 향남읍 구문천리 933-1,그 외 기타 고무제품 제조업
8,삼일포장산업(주),031-354-5231,경기도 화성시 만세구 양감면 대양리 912-4,"적층, 합성 및 특수 표면처리 종이 제조업"
9,재현이엔지,,경기도 화성시 만세구 서신면 매화리 104,일반 철물 제조업
10,주식회사 지제이테크,031-356-4283,경기도 화성시 만세구 남양읍 신남리 1018-13,그 외 기타 플라스틱 제품 제조업
11,신향테크,031-351-6535,경기도 화성시 만세구 팔탄면 하저리 601,자동차 엔진용 신품 부품 제조업
12,주식회사에버테크,031-356-2157,경기도 화성시 효행구 비봉면 청요리 291-5,일반용 도료 및 관련제품 제조업
13,영광하이텍,031-225-4666,경기도 화성시 만세구 향남읍 증거리 361,금속 절삭기계 제조업
14,주식회사 비와이메탈,031-895-5230,경기도 화성시 만세구 장안면 석포리 785-249,"알루미늄 압연, 압출 및 연신제품 제조업"
15,yh프라텍,070-8862-7322,경기도 화성시 만세구 향남읍 길성리 459-11,혼성 및 재생 플라스틱 소재 물질 제조업
16,성재 M.T,,경기도 화성시 효행구 정남면 발산리 542-1,절삭 가공 및 유사 처리업
17,카멜레온프린팅주식회사지점,,경기도 화성시 만세구 우정읍 화산리 1228-8,골판지 제조업
18,제이앤케이하이텍,,경기도 화성시 효행구 정남면 보통리 355-2,절삭 가공 및 유사 처리업
19,(주)토르,031-372-4770,경기도 화성시 효행구 정남면 내리 160-8,기체 펌프 및 압축기 제조업
20,엘앤비이앤지,031-8059-0362,경기도 화성시 만세구 향남읍 구문천리 928-8,금속 절삭기계 제조업
21,(주)신태양,031-353-9571,경기도 화성시 만세구 팔탄면 가재리 723-10,내연기관 제조업
22,가림ENG,,경기도 화성시 효행구 정남면 신리 265-11,기타 악기 및 전자 악기 제조업
23,한영정밀,,경기도 화성시 병점구 안녕동 180-394,절삭 가공 및 유사 처리업
24,월드쇼파,,경기도 화성시 효행구 매송면 야목리 451-1,소파 및 기타 내장 가구 제조업
25,사철건강원,031-357-4359,경기도 화성시 만세구 마도면 마도북로 129-7,건강 보조용 액화식품 제조업
26,주식회사 코어텍*,031-491-4937,경기도 화성시 만세구 우정읍 주곡리 161-459,플라스틱 접착처리 제품 제조업
27,프리모테크,031-297-8589,경기도 화성시 효행구 봉담읍 당하리 108-3,자동차 차체용 신품 부품 제조업
28,다사랑,031-8067-8681,경기도 화성시 만세구 팔탄면 고주리 16-1,자동차 재제조 부품 제조업
29,엔씨에스 테크,,경기도 화성시 효행구 정남면 백리 371-2,컨베이어 장치 제조업
30,(주)C&CT,031-372-7763,경기도 화성시 동탄구 금곡동 510-4,구조용 금속 판제품 및 공작물 제조업
