행정구역,인구수,남자인구수,여자인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100-109세,110세 이상
우정읍,16593,9232,7361,425,1196,1496,1321,2102,3460,3495,1942,956,196,4,0
향남읍,84784,45831,38953,5915,10883,9831,12206,16672,14188,8783,4186,1781,335,4,0
남양읍,60444,32632,27812,4715,5126,6786,10492,9664,9592,8390,3801,1546,322,9,1
마도면,6400,3863,2537,117,264,471,602,780,1227,1625,820,423,71,0,0
송산면,10170,5606,4564,253,577,718,782,1048,1880,2451,1464,811,179,7,0
서신면,6980,3907,3073,104,266,353,519,621,1181,2068,1174,551,142,1,0
팔탄면,9163,5555,3608,154,344,664,793,974,1879,2501,1146,580,126,2,0
장안면,9222,5352,3870,206,485,666,702,978,1775,2280,1332,652,142,4,0
양감면,3669,2280,1389,59,112,238,304,377,671,1047,527,266,67,1,0
새솔동,27057,13565,13492,3576,4027,2037,3974,6247,3902,2465,619,169,41,0,0
봉담읍,112251,56789,55462,10578,12451,11936,18712,19891,17502,12436,5904,2343,476,21,1
매송면,6163,3313,2850,115,276,565,572,564,1167,1518,873,447,64,2,0
비봉면,16490,9038,7452,1497,779,1336,3941,2319,2136,2517,1285,551,128,1,0
정남면,10097,5908,4189,213,484,869,945,1113,2072,2361,1289,595,154,2,0
기배동,15480,7733,7747,969,1661,1880,1846,2396,3030,2133,1084,407,72,2,0
진안동,50221,27155,23066,4559,4409,6406,9779,9422,7470,4827,2275,914,158,1,1
병점1동,36248,18590,17658,2560,3636,5699,6208,5832,5712,3744,1986,771,98,2,0
병점2동,21973,10581,11392,1063,3250,2988,2276,3736,4336,2306,1309,619,89,1,0
반월동,37268,18841,18427,4059,4869,3517,6782,7373,5226,3642,1304,408,85,3,0
화산동,29084,15266,13818,2018,2329,3392,4486,4518,5042,4207,2093,863,134,2,0
동탄1동,49944,25703,24241,4172,6384,7179,9267,9069,8158,3727,1359,531,97,1,0
동탄2동,33761,16538,17223,2246,6277,3848,3129,7001,6374,2881,1355,566,83,1,0
동탄3동,39932,20600,19332,3239,5295,5684,7452,7482,5873,2695,1464,647,99,2,0
동탄4동,52618,26299,26319,5824,10109,4540,7021,12638,8063,3081,974,309,57,2,0
동탄5동,47852,24069,23783,4866,5553,4949,10809,9512,6000,3621,1812,626,102,2,0
동탄6동,46875,23868,23007,4438,6021,6761,9315,9049,6758,3009,1070,387,67,0,0
동탄7동,57365,28831,28534,6235,8279,5195,10628,12742,7537,4477,1742,443,85,2,0
동탄8동,40509,20265,20244,6265,5390,2747,8156,9755,4232,2603,1017,274,69,1,0
동탄9동,60133,30182,29951,7827,7685,5659,12696,12653,7399,4255,1504,373,81,1,0
