route_id,route_no,seq,node_id,ars_no,name,lon,lat,in_hwaseong
GGB200000008,400,1,GGB203000360,4346,수원시동부차고지,127.0785,37.286967,0
GGB200000008,400,2,GGB203000062,4171,연화장,127.08315,37.290867,0
GGB200000008,400,3,GGB203000374,4360,동부차고지,127.07805,37.286667,0
GGB200000008,400,4,GGB277102617,,동부차고지(미정차),127.078983,37.2916,0
GGB200000008,400,5,GGB203000286,4300,상현역,127.069317,37.296917,0
GGB200000008,400,6,GGB228003581,47767,광교마을.린병원.독바위,127.066117,37.29955,0
GGB200000008,400,7,GGB203000338,4232,광교역사공원.광교카페거리,127.052967,37.295217,0
GGB200000008,400,8,GGB203000339,4318,수원광교박물관.광교이마트,127.049567,37.29645,0
GGB200000008,400,9,GGB203000341,4320,광교호반베르디움트라엘.광교해모로,127.051667,37.30465,0
GGB200000008,400,10,GGB203000265,4263,광교한양수자인.호반가든하임,127.048817,37.305417,0
GGB200000008,400,11,GGB203000343,4322,광교e편한세상2차.광교중학교,127.046583,37.305433,0
GGB200000008,400,12,GGB203000356,4340,호반베르디움,127.04465,37.305467,0
GGB200000008,400,13,GGB203000318,4310,광교대광로제비앙,127.040783,37.306867,0
GGB200000008,400,14,GGB203000316,4308,광교파크자이더테라스.열림공원,127.039067,37.30795,0
GGB200000008,400,15,GGB203000317,4309,광교대광로제비앙,127.04065,37.306733,0
GGB200000008,400,16,GGB203000357,4341,호반베르디움,127.043967,37.30545,0
GGB200000008,400,17,GGB203000344,4323,광교중학교.광교e편한세상2차,127.04645,37.30525,0
GGB200000008,400,18,GGB203000263,4262,광교초등학교.광교홍재도서관,127.047283,37.303817,0
GGB200000008,400,19,GGB203000261,4260,광교역.광교대학로,127.043667,37.299883,0
GGB200000008,400,20,GGB203000035,4184,경기대수원캠퍼스후문,127.041767,37.297833,0
GGB200000008,400,21,GGB203000165,4181,경기대수원캠퍼스후문.수원박물관,127.03975,37.297083,0
GGB200000008,400,22,GGB203000248,4252,수원박물관.수원시장애인복지관,127.037033,37.29615,0
GGB200000008,400,23,GGB203000001,1257,경기남부경찰청.봉녕사입구,127.034217,37.2936,0
GGB200000008,400,24,GGB200000197,1256,우만주공4단지,127.030367,37.29245,0
GGB200000008,400,25,GGB200000084,1192,수원시평생학습관.연무사회복지관.창룡도서관,127.026883,37.291567,0
GGB200000008,400,26,GGB202000060,3067,창룡문.연무대,127.024283,37.288117,0
GGB200000008,400,27,GGB202000059,3063,수원미디어센터,127.021733,37.284167,0
GGB200000008,400,28,GGB202000058,3060,팔달구청.수원화성박물관,127.018933,37.281983,0
GGB200000008,400,29,GGB202000047,3133,팔달문,127.016217,37.27735,0
GGB200000008,400,30,GGB202000216,3140,가족여성회관.이춘택병원.해움미술관.수원농협,127.0151,37.272233,0
GGB200000008,400,31,GGB202000215,3046,향교.팔달보건소.중앙침례교회,127.011683,37.270717,0
GGB200000008,400,32,GGB202000214,3038,세무서.신용회복위원회,127.007017,37.268933,0
GGB200000008,400,33,GGB202000219,3017,수원역7번출구.AK플라자,127.000917,37.267467,0
GGB200000008,400,34,GGB277103116,,육교사거리(미정차),126.9993,37.269383,0
GGB200000008,400,35,GGB277103110,,서둔교차로(미정차),126.994867,37.270817,0
GGB200000008,400,36,GGB277103122,,환승센터진입1(미정차),126.9965,37.27115,0
GGB200000008,400,37,GGB277103123,,환승센터진입2(미정차),126.997617,37.268367,0
GGB200000008,400,38,GGB201000592,2985,수원역환승센터(6승강장),126.998467,37.2654,0
GGB200000008,400,39,GGB277103124,,벌터교차로(미정차),126.9963,37.2621,0
GGB200000008,400,40,GGB201000020,2156,공구유통타운.중앙자동차매매단지,126.997067,37.25835,0
GGB200000008,400,41,GGB201000390,2331,중보교.수원역자동차운전전문학원,126.994583,37.25575,0
GGB200000008,400,42,GGB201000389,2926,고색동입구,126.98995,37.253533,0
GGB200000008,400,43,GGB201000064,2137,고색파출소.종합공구단지,126.986683,37.252633,0
GGB200000008,400,44,GGB201000019,2128,연안아파트.삼성큰병원,126.983783,37.251817,0
