route_id,gg_route_id,route_no,route_type,route_type_cd,start_stop,end_stop,first_time,last_time,peek_alloc,npeek_alloc,night_alloc,dispatch_num,up_first,up_last,region,company,gg_route_name
GGB200000008,200000008,400,일반버스,13,수원시동부차고지,궁평항,0430,2300,30,40,0,,04:30,23:00,,남양여객,400
GGB200000013,200000013,999,일반버스,13,연화장,현대기아연구소,0420,2050,50,120,0,,04:20,20:50,,남양여객,999
GGB200000016,200000016,50-2,일반버스,13,서둔동차고지대기(미정차),남전2리종점,0520,2050,140,170,0,,05:20,20:50,,남양여객,50-2
GGB200000018,200000018,50-4,일반버스,13,서둔동차고지대기(미정차),쌍학리,0500,2020,120,140,0,,05:00,20:20,,남양여객,50-4
GGB200000020,200000020,50-5,일반버스,13,서둔동차고지대기(미정차),청요리,0610,2030,150,190,0,,06:10,20:30,,남양여객,50-5
GGB200000060,200000060,11,일반버스,13,수원시동부차고지,원시역2번출구,0400,2040,12,17,0,,04:00,20:40,,남양여객,11
GGB200000149,200000149,7790,직행좌석버스,11,협성대정문,사당역(중),0500,2330,10,25,25,,05:00,23:30,,경진여객,7790
GGB200000152,200000152,15-1,일반버스,13,서부공용차고지(미정차),아이원.호수자이파밀리에,0440,2030,30,50,0,,04:40,20:30,,제부여객,15-1
GGB200000237,200000237,5-2,일반버스,13,서둔동차고지대기(미정차),아이원.호수자이파밀리에,0500,2200,22,32,0,,05:00,22:00,,제부여객,5-2
GGB200000282,200000282,5-3,일반버스,13,동부차고지,아이원.호수자이파밀리에,0500,2220,38,48,0,,05:00,22:20,,남양여객,5-3
GGB216000061,216000061,3102,직행좌석버스,11,새솔고,강남역우리은행,0510,2330,15,30,,,05:10,23:30,,경원여객,3102
GGB216000064,216000064,310,일반버스,13,대광아파트,안산대학교,0520,1920,45,150,,,05:20,19:20,,제부여객,310
GGB234001568,234001568,721,일반버스,13,영통차고지대기(미정차),반도10차,0500,2210,80,120,0,,05:00,22:10,,화성여객,721
GGB234001570,234001570,116-2,일반버스,13,영통차고지대기(미정차),갈곶동.KCC스위첸아파트,0500,2220,30,80,0,,05:00,22:20,,화성여객,116-2
GGB234001577,234001577,M4130,광역급행버스,14,호수자이파밀리에.아이원,서울역버스환승센터(6번승강장)(중),0500,2300,5,25,0,,05:00,23:00,,화성여객,M4130
GGB234001619,234001619,M4434,광역급행버스,14,호수자이파밀리에.아이원,신분당선강남역(중),0520,2310,10,50,0,,05:20,23:10,,화성여객,M4434
GGB234001622,234001622,M4137,광역급행버스,14,아이파크.센트럴시티,서울역버스환승센터(6번승강장)(중),0500,2300,5,30,0,,05:00,23:00,,화성여객,M4137
GGB223000032,223000032,701A,일반버스,13,동탄2차고지,곡반정동차고지,0450,2110,40,60,0,,04:50,21:10,,화성운수,701A
GGB223000056,223000056,708,일반버스,13,동탄2차고지,병점역사거리,0500,2305,20,24,0,,05:00,23:05,,화성운수,708
GGB223000058,223000058,73,일반버스,13,동탄2차고지,병점역사거리,0500,2235,15,22,0,,05:00,22:35,,화성운수,73
