순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
1,화성시,화성-소망교통,1번,소망의동산,소망의동산,8.2,1,0,0,,06:30,21:00,,,,,,,
2,화성시,화성-화성여객,1번,사강종점,고잔마을,35.7,1,80,190,190.0,06:40,15:40,08:30,15:10,07:20,16:10,09:00,15:40,
3,화성시,화성-향남교통,10번,장짐교차로,남양성지,40.1,0,140,220,220.0,08:40,14:40,08:40,14:40,09:50,15:40,09:50,15:40,
4,화성시,화성-향남교통,10-1번,장짐교차로,노하할인마트,22.7,0,50,225,225.0,06:00,21:15,06:00,21:15,06:25,21:35,06:25,21:35,
5,화성시,화성-향남교통,10-2번,장짐교차로,기천3리.키울,20.8,0,125,430,430.0,07:40,16:50,07:40,16:50,08:05,17:30,08:05,17:30,
6,화성시,화성-향남교통,10-3번,장짐교차로,나은병원,22.1,1,50,120,120.0,06:00,21:10,06:00,21:10,06:25,21:30,06:25,21:30,
7,화성시,화성-향남교통,10-3A번,장짐교차로,나은병원,26.6,1,0,0,0.0,10:40,15:40,10:40,15:40,11:10,16:15,11:10,16:15,
8,화성시,화성-향남교통,10-5번,장짐교차로,하저리마을회관,21.1,0,595,595,595.0,07:45,17:40,07:45,17:40,08:10,18:10,08:10,18:10,
9,화성시,화성-부광여객,100번,파크자이2차,파크자이2차,12.5,2,30,60,60.0,06:50,19:30,06:50,19:30,,,,,
10,화성시,화성-부광여객,100(A)번,파크자이1차,파크자이1차,11.3,2,30,60,60.0,06:50,19:30,06:50,19:30,,,,,
11,화성시,화성-명승교통,11번,병점아이파크캐슬.성호플레르빌,병점아이파크캐슬.성호플레르빌,7.4,2,30,35,40.0,06:00,22:05,06:35,22:00,,,,,
12,화성시,화성-향남교통,11-1번,정남농협,남양성지,56.2,0,170,200,200.0,07:20,21:40,07:20,21:40,08:55,20:30,08:55,20:30,
13,화성시,화성-명승교통,11-2번,병점역.화성청년지원센터,서천2차아이파크,14.9,9,8,15,25.0,05:30,22:25,06:30,22:25,05:35,22:10,06:30,22:10,
14,화성시,화성-명승교통,12번,병점역후문,반월e편한세상,25.0,5,56,56,55.0,06:00,22:26,06:30,22:30,06:15,22:10,06:30,22:30,
15,화성시,화성-향남교통,12번,장짐교차로,남양성지,37.9,1,110,200,200.0,05:45,19:35,05:45,19:35,06:40,21:00,06:40,21:00,
16,화성시,화성-향남교통,12-1번,장짐교차로,남양성지,47.1,1,0,0,0.0,07:30,17:45,07:30,17:45,15:00,,15:00,,
17,화성시,화성-명승교통,13번,병점역.화성청년지원센터,신영통현대아파트1단지,19.6,4,25,25,50.0,06:00,22:10,06:30,21:50,06:00,22:10,06:30,21:50,
18,화성시,화성-향남교통,13-1번,우림주공아파트,구문천1리진입로,25.5,7,8,40,90.0,05:50,21:30,05:50,21:30,05:50,21:30,05:50,21:30,
19,화성시,화성-향남교통,13-1A번,우림주공아파트,구문천3리,27.7,8,104,105,105.0,06:05,19:20,06:05,19:20,07:00,21:00,07:00,21:00,
20,화성시,화성-향남교통,13-2번,만세구청.화성종합경기타운,남양성지,38.5,6,20,70,70.0,05:30,20:30,05:30,20:30,06:30,21:40,06:30,21:40,
21,화성시,화성-향남교통,13-3번,독립운동기념관,상신3리입구.한양수자인,24.8,2,50,50,50.0,06:00,21:10,06:00,21:10,06:00,21:10,06:50,20:20,
22,화성시,화성-향남교통,13-3A번,독립운동기념관,상신3리입구.한양수자인,26.8,1,0,0,0.0,07:40,,07:40,,07:40,,08:40,,
23,화성시,화성-명승교통,13A번,병점아이파크캐슬.성호플레르빌,센트럴하이츠아파트,24.3,5,23,23,40.0,06:00,22:08,06:30,22:10,06:09,22:17,06:50,22:10,
24,화성시,화성-금오운수,17번,병점역후문,동탄역(동측),26.0,4,15,20,40.0,06:00,22:30,06:00,22:30,06:00,22:30,06:00,22:30,
25,화성시,화성-금오운수,17-1번,병점역후문,동탄역(동측),25.5,3,40,60,160.0,06:00,22:30,06:00,22:30,,,,,
26,화성시,화성-산척여객,19번,호수공원행복주택.호수부영6차,병점역사거리,30.4,10,18,40,72.0,05:15,21:30,05:15,21:30,06:00,22:25,06:00,22:25,
27,화성시,화성-산척여객,19-1번,힐스테이트동탄,병점역사거리,33.9,6,20,45,45.0,05:00,21:30,05:00,21:30,06:00,22:20,06:00,22:20,
28,화성시,화성-산척여객,19-2번,장지동농협,병점역사거리,32.3,1,130,165,165.0,05:20,20:15,05:20,20:15,06:25,21:20,06:25,21:20,
29,화성시,화성-산척여객,19-3번,LH1단지.한양수자인,병점역사거리,26.4,2,45,70,70.0,05:15,20:40,05:15,20:40,06:00,21:40,06:00,21:40,
30,화성시,화성-산척여객,19-5(A)번,장지동농협,동탄역(동측),30.1,1,50,60,60.0,06:20,21:15,06:20,21:15,07:10,22:05,07:10,22:05,
31,화성시,화성-산척여객,19-5(B)번,동탄역(동측),병점역사거리,50.1,3,60,130,130.0,05:30,19:40,05:30,19:40,07:15,21:25,07:15,21:25,
32,화성시,화성-산척여객,19-5(순환)번,(임시)e편한세상동탄파크아너스,(임시)e편한세상동탄파크아너스,9.4,1,0,0,0.0,05:30,21:40,05:30,21:40,,,,,
