ars,emd_cd,sttn_nm
36001,4159125621,남양뉴타운.현대2차
36002,4159125621,남양뉴타운.상가단지
36003,4159310200,보보스프라자
36004,4159325025,보보스프라자
36005,4159310200,기안중학교
36006,4159310200,기안중학교
36007,4159125621,남양6리.남양1리
36008,4159125621,남양6리.남양1리
36009,4159125621,우림아파트
36010,4159125621,우림아파트
36011,4159325027,봉담성당앞
36012,4159125621,동광뷰엘
36013,4159125032,조암시장.조암성당
36014,4159125621,남양성지
36015,4159125621,남양성지
36016,4159125621,동광뷰엘
36017,4159331022,원평사거리
36018,4159125621,기업은행
36019,4159125621,남양사거리
36020,4159331022,원평사거리
36021,4159125621,남양사거리
36022,4159125032,조암시장남쪽입구
36023,4159125621,남양중고교입구
36024,4159125621,양우내안애
36025,4159125621,(구)남양읍행정복지센터
36026,4159125621,(구)남양읍행정복지센터
36027,4159133021,전곡산업단지사거리
36028,4159125621,화성시청.모두누림센터
36029,4159125628,루나포레아파트
36030,4159125628,루나포레아파트
36031,4159125622,장덕2통.현대자동차연구소
36032,4159133021,전곡산업단지사거리
36033,4159710600,동원.다원중
36034,4159125621,공군부대입구
36035,4159125628,북양1리.봉림사
36036,4159125621,공군부대입구
36037,4159125621,대광아파트
36039,4159125621,대광아파트
36040,4159125628,북양2리
36041,4159125628,북양2리
36042,4159125628,북양1리.염티고개
36043,4159125628,북양1리.염티고개
36044,4159125627,무송1리마을입구
36045,4159125627,무송1리마을입구
36046,4159125627,무송교차로
36047,4159125627,무송교차로
36049,4159710200,솔빛동탄경남아너스빌
36050,4159125627,금광포란재아파트
36051,4159125626,금광포란재아파트
36052,4159125628,북양교차로
36053,4159125628,북양교차로
36054,4159325036,초당골
36055,4159325036,초당골앞
36056,4159325036,상기2리
36057,4159325036,상기2리
36059,4159325036,상기2리입구
36060,4159325036,상기2리입구
36061,4159325034,덕우저수지
36062,4159510200,홈플러스병점점(좌회전전용)
36063,4159325036,상기1리즘곰마을
36064,4159325036,즘곰마을.상기1리
36065,4159510500,반월리
36066,4159325036,상기1리호현리
36067,4159325036,호현리.상기1리
36068,4159325033,진우아파트
36070,4159325022,내리사거리
36071,4159325034,진우아파트
36072,4159325036,상기1리세거리
36073,4159325034,팔탄입구
36074,4159325033,팔탄입구
36075,4159325036,수원여대혜란캠퍼스
36076,4159325036,수원여대혜란캠퍼스
36077,4159325033,덕리
36078,4159325033,덕리
36079,4159510100,송산교입구
36080,4159325021,이곤선생효자문북단
36081,4159325030,해병대사령부
36082,4159325033,화성푸드통합지원센터(로컬푸드직매장)
36083,4159325030,해병대사령부
36086,4159325033,화성푸드통합지원센터(로컬푸드직매장)
36087,4159136027,대양1리.포도원
36088,4159136027,대양1리.포도원
36089,4159325030,당하리.흰돌산기도원입구
36090,4159325028,왕림4리.세곡리
36091,4159325030,당하리.흰돌산기도원입구
36092,4159325028,왕림4리.세곡리
36093,4159136027,대양1리
36094,4159136027,상두리입구
36095,4159325028,가톨릭대학교
36096,4159136027,대양1리
36097,4159325028,가톨릭대학교
36098,4159136027,상두리입구
36099,4159325028,아울렛패션몰
36100,4159136027,상두리입구
36102,4159325028,왕림리.상기리입구
36103,4159325028,왕림리.상기리입구
36104,4159135029,경진여객차고지
36105,4159136027,대양4리
36106,4159136027,대양4리
36107,4159136027,대양2리
36108,4159136027,대양2리
36109,4159325028,왕림휴게소
36110,4159325028,왕림휴게소
36111,4159325021,장안대학
36113,4159325021,장안대학
36115,4159136027,외딴집
36116,4159711100,장지지하차도
36117,4159711100,장지지하차도
36118,4159325021,삼봉마을.신안인스빌
36119,4159325021,삼봉마을.신안인스빌
36120,4159136021,양감농협
36121,4159136021,양감농협
36122,4159325021,봉담읍행정복지센터
36123,4159325021,봉담읍행정복지센터
36124,4159325021,봉담한신아파트
36125,4159325021,한신아파트
36126,4159136021,신왕3리.조리울
36127,4159136021,신왕3리.조리울
36128,4159325023,동화리.동남아파트
36130,4159325021,협성대학교(마을)
36131,4159325024,동화리.동남아파트
36132,4159136021,독줄입구
36133,4159136021,신왕2리.독줄입구
36134,4159325024,대진아이엠.LH3단지
36135,4159325023,대진아이엠.LH3단지
36136,4159510500,반월e편한세상
36137,4159510500,반월e편한세상
36138,4159333026,백1리
36139,4159325027,효행구청.분천교회
36141,4159510900,일진전기앞
36142,4159510900,일진전기앞
36143,4159325027,분천교회.효행구청
36144,4159136021,신왕공단
36145,4159136021,신왕공단
36146,4159325023,수영오거리.봉담입구
36147,4159325023,수영오거리.봉담입구
36148,4159325023,수영오거리.방송통신대입구
36149,4159333027,문학1리
36150,4159136021,솔안고개
36151,4159136021,솔안고개
36153,4159125621,남양아이파크(우회전전용)
36154,4159711300,방교동일반산업단지
36155,4159136025,솔안슈퍼
36156,4159325027,보통리입구
36158,4159325027,보통리입구
36159,4159325024,화성시민캠퍼스
36161,4159325024,화성시민캠퍼스
36162,4159136025,용소3리
36164,4159510200,중심상가
36165,4159136022,사창1리
36166,4159136022,사창1리
36167,4159136022,사창4리
36168,4159136022,동자골.사창3리
36169,4159325024,신일우남아파트
36172,4159310200,광도와이드빌
36173,4159136022,사창초등학교
36174,4159325024,SK매직.우림그린빌리지
36175,4159136022,사창초등학교
36176,4159310200,우림그린빌리지
36177,4159136022,삼풍전선
36178,4159136022,사창2리.요꼴
36179,4159136022,사창2리.요꼴
36180,4159136022,사창초등학교
36181,4159136022,삼풍전선
36182,4159136022,사창초등학교
36183,4159325024,봉담이마트
36184,4159136025,용소3리입구
36185,4159136025,용소3리입구
36186,4159325025,신일해피트리1차
36187,4159325025,와우농협앞
36188,4159510500,신동탄롯데캐슬
36189,4159125621,시티프라디움1차
36190,4159125622,대광2차아파트
36191,4159711400,남양상회
36192,4159510100,태안교차로
36193,4159325025,와우지구
36194,4159325025,와우지구
36195,4159325025,북촌말입구
36196,4159333023,보통2리
36197,4159325026,수기리아랫말
36198,4159136025,용소2리
36199,4159136025,용소2리
36200,4159325026,아랫말.수기리
36201,4159136024,까치고개
36202,4159136024,까치고개
36203,4159333024,관항2리
36204,4159325025,수원대학교
36205,4159711400,남양상회
36206,4159333023,보통2리
36209,4159510200,병점아이파크캐슬.성호플레르빌
36210,4159325025,수원대학교
36211,4159510200,병점아이파크캐슬.성호플레르빌
36212,4159333023,수원과학대학
36213,4159333023,수원과학대학
36214,4159325026,수기리
36215,4159325025,수원대학교
36216,4159325025,수원대학교
36217,4159325026,흥법사입구
36219,4159510200,병점역아이파크캐슬
36220,4159510200,병점복합타운
36223,4159333021,발산리
36225,4159333021,발산리
36226,4159333028,덕신상가
36227,4159333021,덕신상가
36228,4159325026,그린피아호텔
36229,4159325026,그린피아호텔
36230,4159510200,병점복합타운
36231,4159333021,정남도서관
36232,4159510200,병점역아이파크캐슬
36233,4159510200,새봄초등학교
36234,4159333022,정남농협
36235,4159333021,동남아파트
36236,4159333021,동남아파트
36237,4159333028,정남초등학교
36238,4159333021,정남초등학교
36239,4159333021,정남초등학교
36240,4159333022,정남파출소
36241,4159136023,양계장
36243,4159333022,정남파출소
36245,4159136023,양계장
36246,4159325026,남산공단입구
36247,4159136025,용소1리
36248,4159136025,용소1리
36249,4159325026,남산공단입구
36250,4159136023,정문1리
36251,4159136023,정문1리
36252,4159136023,정문2리
36253,4159136023,정문2리
