시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,3M,3M,233001796,37843.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.1083167,126.8393667
화성시,51사단,51st Division ,233000845,37291.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.2509667,126.9208667
화성시,51사단,51st Division ,233000717,37290.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.2508667,126.9209
화성시,A100,,233003135,55531.0,,,,37.16005,127.1200167
화성시,A44,Dongtan New Town 2 Block A 66,233003044,,노변정류장,경기도 화성시,,37.1901833,127.12455
화성시,A73.업무복합,,233003128,55524.0,,,,37.1668,127.10695
화성시,A78블럭.부영A75블럭,,233001710,55501.0,,,,37.1672167,127.1173667
화성시,A87.A91,,233003137,55533.0,,,,37.16465,127.1065333
화성시,A89.A90,,233003126,55522.0,,,,37.1610167,127.1048
화성시,A90,,233003131,55527.0,,,,37.1591667,127.10605
화성시,A90.A89,,233003132,55528.0,,,,37.1609833,127.10525
화성시,A91.A87,,233003127,55523.0,,,,37.1639,127.1068833
화성시,A95,,233003130,55526.0,,,,37.1574833,127.1092833
화성시,A97,,233003129,55525.0,,,,37.1572333,127.1125167
화성시,A98,,233003133,55529.0,,,,37.1619167,127.1162167
화성시,A99,,233003134,55530.0,,,,37.1613167,127.1194667
화성시,DM디스플레이,DM Display,233002115,55091.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.16415,127.08765
화성시,DM디스플레이,DM Display ,233002116,55092.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1656167,127.08775
화성시,DS.LCD,DS.LCD,233000987,37598.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.1681833,127.0786167
화성시,IT단지(중),IT Complex ,233001978,37954.0,중앙차로 정류장,경기도 화성시,경기도 화성시 석우동,37.2247167,127.0741833
화성시,IT단지(중),IT Complex ,233001310,36683.0,중앙차로 정류장,경기도 화성시,경기도 화성시 석우동,37.2252667,127.0734833
화성시,KCC스위첸,KCC Switzen Apartment ,233002424,55300.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.2027,127.12265
화성시,KCC스위첸,KCC Switzen Apartment ,233002425,55301.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.2025,127.1222167
화성시,KCC스위첸,KCC Switzen Apartment ,233002427,55303.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.2012,127.1189667
화성시,KEB하나은행발안지점,Baran KEB Hana Bank,233001934,37940.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1333667,126.9107833
화성시,LG자이.진안중학교,"LG Xi Apartment, Jinan Middle School",233002681,,노변정류장,경기도 화성시,,37.21765,127.03655
화성시,LG자이.진안중학교,"LG Xi Apartment, Jinan Middle School",233002680,,노변정류장,경기도 화성시,,37.2177,127.0363
화성시,LH65블럭.하우스디더레이크.나래학교,LH65.66,233000997,36494.0,노변정류장,경기도 화성시,,37.1760167,127.1051833
화성시,SK매직.우림그린빌리지,"SK Magic, Woolim Green Village",233000589,36174.0,노변정류장,경기도 화성시,,37.2247833,126.97205
화성시,SK뷰2차아파트,Gisan 2-tong Community Center,233002035,55011.0,노변정류장,경기도 화성시,경기도 화성시 기산동,37.2165167,127.0519333
화성시,SK뷰2차아파트,Gisan 2-tong Community Center,233002034,55015.0,노변정류장,경기도 화성시,경기도 화성시 기산동,37.2164167,127.0517
화성시,SK뷰2차아파트,"Gisan -ri, Neung 1-ri",233000105,36388.0,노변정류장,경기도 화성시,경기도 화성시 기산동,37.2162833,127.0551
화성시,SK뷰파크,SKVIEW Park ,233002555,36402.0,노변정류장,경기도 화성시,,37.2216167,127.0575667
화성시,가골입구앞,Gagol,233001314,36712.0,노변정류장,경기도 화성시,경기도 화성시 비봉면,37.2022333,126.8911167
화성시,가시리마을,Gasiri Maeul ,233003071,,노변정류장,경기도 화성시,,37.2406333,126.8025667
화성시,가시리마을,Gasiri Maeul ,233002588,,노변정류장,경기도 화성시,,37.2405333,126.8027667
화성시,가재1리입구.자연샘,"Gajae 1-ri, Jayeonsaem ",233000820,36764.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1454,126.9194667
화성시,가재1리입구.자연샘,"Gajae 1-ri, Jayeonsaem ",233002212,55133.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1452,126.9196667
화성시,가재2리,Gajae 2-ri,233002081,55047.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.15385,126.9326667
화성시,가재2리,Gajae 2-ri,233002082,55048.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1525,126.9334833
화성시,가재3리.가재3리입구,Gajae 3-ri ,233000821,37296.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1535833,126.9255167
화성시,가재3리.덕우공단입구,"Gajae 3-ri, Deogu Industrial Complex",233000798,37302.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1567667,126.92805
화성시,가재3리.덕우공단입구,"Gajae 3-ri, Deogu Industrial Complex",233000822,37301.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1562833,126.9276333
화성시,가재3리입구.가재4리,"Gajae 3-ri, Gajae 4-ri",233000799,37294.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.15295,126.92525
화성시,가재4리,Gajae 4-ri,233001862,37904.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.14095,126.91595
화성시,가재4리.해병대보급중대,"Gajae 4-ri, Marine Corps Supply Unit",233000819,37282.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,37.1427833,126.91765
화성시,가재교차로(경유),,277101693,,,,,37.1491167,126.922
화성시,가재교차로(경유),,277101732,,,,,37.149,126.9223
화성시,가톨릭대학교,The Catholic University of Korea Main Gate,233000830,36095.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.1935667,126.9390833
화성시,가톨릭대학교,The Catholic University of Korea,233000791,36097.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.1938833,126.9395
화성시,각골,Gakgol,233002658,37824.0,노변정류장,경기도 화성시,,37.1643333,126.7242333
화성시,각골,Gakgol,233002663,37931.0,노변정류장,경기도 화성시,,37.1642333,126.7242167
화성시,각골입구,Gakgol,233002882,,노변정류장,경기도 화성시,,37.2277667,126.7097833
화성시,각골입구,Gakgol,233002881,,노변정류장,경기도 화성시,,37.2276333,126.7098167
화성시,갈담초교입구,,233517280,,,,,37.1729833,126.9332833
화성시,갈담초교입구,,233518750,,,,,37.1729,126.9335333
화성시,갈목,Galmok ,233001175,36208.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.08645,126.9794167
화성시,갈천다리,Galcheon Bridge,233000947,37343.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1252333,126.9844667
화성시,갈천다리,Galcheon Bridge,233000033,37342.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.12515,126.9844667
화성시,갈천리,Galcheon-ri,233001019,37334.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1248167,126.9769667
화성시,갈천리,Galcheon-ri,233000038,37335.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1248667,126.9769667
화성시,갈천초등학교,Kalchun Elementary School,233000034,37339.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.12495,126.9814833
화성시,갈천초등학교,Kalchun Elementary School,233000039,36711.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,37.1251,126.9799667
화성시,감드러지(독정3리),Gamdeureoji (Dokjeong 3-ri),233000936,37147.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.07745,126.8570333
화성시,감드러지(독정3리),Gamdeureoji (Dokjeong 3-ri),233000505,37148.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.0774167,126.85685
화성시,개경촌,Gaegyeongchon,233000749,37006.0,노변정류장,경기도 화성시,경기도 화성시 서신면,37.1647167,126.6642833
화성시,개경촌,Gaegyeongchon ,233000871,37007.0,노변정류장,경기도 화성시,경기도 화성시 서신면,37.1648,126.6643333
화성시,개나리공원,Gaenari Park ,233001438,36721.0,노변정류장,경기도 화성시,경기도 화성시 석우동,37.2117,127.06755
화성시,개나리공원,Gaenari Park,233001437,37533.0,노변정류장,경기도 화성시,경기도 화성시 반송동,37.21135,127.0677167
화성시,갯벌민박앞,Gaetbeol Pension ,233003033,,노변정류장,경기도 화성시,,37.1657833,126.6252333
화성시,거문들,Geomundeul,233002134,55160.0,노변정류장,경기도 화성시,경기도 화성시 장안면,37.0893667,126.8299333
화성시,거물마을,Geomul Maeul,233001398,36966.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.10185,126.7808333
화성시,거물마을,Geomul Maeul,233001396,36968.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.1019167,126.7807667
화성시,경기고속차고지,Gyeonggi Express Bus Garage,233002341,55171.0,노변정류장,경기도 화성시,경기도 화성시 안녕동,37.1976,126.9957
화성시,경기도종합사격장,,233000171,55462.0,,,,37.0926167,126.95695
화성시,경기요양병원,Gyeonggi Rehabilitation Hospital ,233001089,36818.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.1151,126.7973833
화성시,경기요양병원,Gyeonggi Rehabilitation Hospital ,233000410,36864.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.11505,126.7972667
화성시,경남.반도1차,"Gyeongnam, Bando 1-cha ",233000960,36452.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.2034833,127.1107833
화성시,경남아너스빌,Keangnam Honorsville ,233002031,55020.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.2115,127.0555333
화성시,경모목장,Gyeongmo Farm,233000026,36791.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.0857167,126.9704167
화성시,경모목장,Gyeongmo Farm,233001091,36779.0,노변정류장,경기도 화성시,경기도 화성시 양감면,37.0856,126.9705333
화성시,경신공업사,Gyungsin Auto Service,233001563,37627.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.11525,126.8131167
화성시,경신공업사,Gyungsin Auto Service,233001569,37622.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.1152667,126.8133
화성시,계룡.영천초,"Kyeryong, Yeongcheon Elementary School",233000131,36812.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,37.2040333,127.10475
화성시,계양2리,Gyeyang 2-ri,233001495,37570.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.15225,126.9811
화성시,계양리(마을회관),Gyeyang-ri (Community Center),233001347,36970.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1453,126.9854
화성시,계양리(마을회관),Gyeyang-ri (Community Center),233001346,37528.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1454167,126.9853167
화성시,계향1리,Gyehyang 1-ri ,233000658,36225.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1555333,126.9819167
화성시,계향1리,Gyehyang 1-ri,233001129,36223.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1553167,126.9817167
화성시,계향2리,Gyehyang 2-ri,233000659,37571.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1523833,126.9813333
화성시,계향리,Gyehyang-ri,233001345,36244.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1488833,126.9842667
화성시,계향리,Gyehyang-ri,233001344,36242.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1488333,126.9842
화성시,계향리입구,Gyehyang-ri ,233001577,36218.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1524167,126.9812167
화성시,고모1리,Gomo 1-ri ,233002798,,노변정류장,경기도 화성시,,37.1739167,126.7387
화성시,고모2리,Gomo 2-ri,233002604,,노변정류장,경기도 화성시,,37.1727333,126.7465
화성시,고모교회앞,Gomo Church ,233002799,,노변정류장,경기도 화성시,,37.1772167,126.7361333
화성시,고온리종점,Goon-ri Bus Terminal ,233000481,36920.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0373167,126.7486333
화성시,고온리종점(경유),,277101618,,,,,37.0384,126.7502167
화성시,고잔농원,Gojan Farm,233002661,37867.0,노변정류장,경기도 화성시,,37.07135,126.9133833
화성시,고잔마을,Gojan Maeul ,233002540,36489.0,노변정류장,경기도 화성시,,37.1253167,126.6900167
화성시,고잔마을,Gojan Maeul ,233002547,36498.0,노변정류장,경기도 화성시,,37.1252667,126.6900167
화성시,고정1리.큰한뿌리,"Gojeong 1-ri, Keunhanppuri",233000283,37401.0,노변정류장,경기도 화성시,경기도 화성시 송산면,37.2434833,126.74015
화성시,고정1리.큰한뿌리,"Gojeong 1-ri, Keunhanppuri",233002915,,노변정류장,경기도 화성시,,37.2434333,126.7402333
