key,stop_id,ars,name,lon,lat,grid_id,region,board_day,alight_day,n_routes,freq_imputed,freq_am,freq_day,freq_pm,freq_night
233001415,41590-37539,37539,양지말입구,126.715767,37.205283,다사3012,송산면,0.0,1.7,1,0,0.571,2.087,0.571,0.0
233001416,41590-37538,37538,주곡1리입구,126.818817,37.116483,다사3902,우정읍,0.27,3.16,2,0,3.5,10.98,3.5,0.333
233001417,41590-37537,37537,주곡2리(회차),126.804433,37.114267,다사3801,우정읍,1.61,1.1,0,1,3.714,12.0,3.714,0.0
233001418,41590-36986,36986,장안9리입구,126.854583,37.060633,다바4295,장안면,6.71,0.19,1,0,3.0,9.6,3.0,0.0
233001419,41590-36985,36985,장안6리,126.85635,37.052367,다바4295,장안면,0.04,8.25,1,0,3.0,9.6,3.0,0.0
233001420,41590-36722,36722,장안3리,126.852017,37.041733,다바4293,장안면,0.24,9.94,1,0,3.0,9.6,3.0,0.0
233001421,41590-37536,37536,장안8리,126.846583,37.037917,다바4193,장안면,0.1,4.17,1,0,3.0,9.6,3.0,0.0
233001422,41590-36984,36984,장명초분교,126.844017,37.03795,다바4193,장안면,0.03,0.68,1,0,3.0,9.6,3.0,0.0
233001423,41590-36983,36983,장안제일교회,126.843233,37.034633,다바4193,장안면,0.14,7.71,1,0,3.0,9.6,3.0,0.0
233001424,41590-36982,36982,장안제일교회,126.84335,37.0347,다바4193,장안면,0.0,0.0,1,0,3.0,9.6,3.0,0.0
233001425,41590-37535,37535,장안4리(고잔)종점,126.8373,37.036483,다바4193,장안면,2.83,1.6,1,0,3.0,9.6,3.0,0.0
233001426,41590-36923,36923,멱우2리,126.813717,37.102067,다사3900,우정읍,0.29,0.71,3,0,7.714,23.222,7.714,0.594
233001427,41590-36595,36595,봉담자이프라이드시티,126.927033,37.225967,다사4914,봉담읍,12.78,204.5,3,0,12.667,14.324,12.667,0.429
233001428,41590-36981,36981,장안9리입구,126.854467,37.0606,다바4295,장안면,0.06,2.99,1,0,3.0,9.6,3.0,0.0
233001429,41590-36980,36980,장명초분교,126.843867,37.037483,다바4193,장안면,8.14,0.08,1,0,3.0,9.6,3.0,0.0
233001430,41590-37619,37619,장안8리,126.8466,37.037783,다바4193,장안면,7.53,0.03,1,0,3.0,9.6,3.0,0.0
233001431,41590-36714,36714,장안3리,126.8521,37.0416,다바4293,장안면,9.29,0.04,1,0,3.0,9.6,3.0,0.0
233001432,41590-36713,36713,장안6리.물구리,126.856467,37.052333,다바4295,장안면,10.21,0.24,1,0,3.0,9.6,3.0,0.0
233001433,41590-36583,36583,인제카센터,126.765633,37.036767,다바3493,우정읍,1.62,2.15,1,0,2.0,6.0,2.0,0.0
233001434,41590-55077,55077,조암시장,126.815617,37.081533,다바3998,우정읍,210.29,478.41,13,0,45.8,142.183,45.8,0.639
233001435,41590-36977,36977,화성시청,126.828483,37.197833,다사4011,남양읍,86.74,110.8,5,0,14.143,29.44,15.0,1.417
233001436,41590-36961,36961,이주단지,127.064117,37.211767,다사6112,동탄1동,33.68,100.17,2,0,6.0,14.667,6.0,0.0
233001437,41590-37533,37533,개나리공원,127.067717,37.21135,다사6112,동탄1동,28.88,135.28,2,0,6.0,14.667,6.0,0.0
233001438,41590-36721,36721,개나리공원,127.06755,37.2117,다사6112,동탄1동,132.56,27.71,2,0,6.0,14.667,6.0,0.0
233001439,41590-36960,36960,이주단지,127.065317,37.2119,다사6112,동탄1동,35.19,19.57,2,0,6.0,14.667,6.0,0.0
233001440,41590-37770,37770,발안공단로4길교차로,126.89965,37.084433,다바4698,향남읍,21.08,0.05,0,1,4.0,10.599,4.0,0.0
233001441,41590-55739,55739,공청2,126.94505,37.227667,다사5014,봉담읍,141.43,251.35,1,0,2.0,6.0,2.0,0.0
233001442,41590-36959,36959,송산교입구,127.02565,37.207183,다사5712,화산동,8.23,46.38,4,0,6.667,15.333,6.667,0.0
233001443,41590-36958,36958,송산교차로,126.987767,37.106767,다사5401,양감면,3.08,1.13,1,0,0.75,2.4,0.75,0.0
233001444,41590-36957,36957,외골,126.9683,37.154,다사5206,정남면,0.77,0.73,1,0,2.0,6.0,2.0,0.0
233001445,41590-37530,37530,문학4리.마을회관앞,126.9718,37.151367,다사5305,정남면,0.57,1.46,1,0,2.0,6.0,2.0,0.0
233001446,41590-60029,60029,요당리,126.93655,37.068417,다바4996,양감면,0.41,5.84,0,1,1.333,4.0,1.333,0.0
233001447,41590-36676,36676,동탄국제고등학교,127.079467,37.189017,다사6210,동탄2동,31.47,1.34,2,0,16.0,17.524,16.0,1.683
233001448,41590-36678,36678,나루마을.월드반도,127.076517,37.1908,다사6210,동탄2동,893.97,145.62,11,0,132.0,139.122,131.0,13.013
233001449,41590-36675,36675,쌍용예가,127.0718,37.1935,다사6110,동탄2동,382.27,103.55,2,0,8.0,22.857,8.0,0.0
233001450,41590-36680,36680,솔빛마을.화성동탄중앙도서관,127.069633,37.195817,다사6110,동탄2동,982.15,114.68,10,0,129.0,134.07,128.0,12.961
